grammar,usage,meaning,examples
～です,"～が～です。
～は～です。",～ is/am/are ～,"これは私の携帯です。
This is my phone.
彼のお姉さんは20歳です。
His older sister is 20 years old."
も,,too; also,"来月のライブに行きたい！僕も行きたい！
I want to go to the concert next month.  I also want to go.
うどんが好きです。ラーメンも好きです。
I like ramen.  I also like udon."
で,,"marks the place where an action takes place.
Marks the means by which you do something.","食堂で昼ご飯を食べました。
I ate lunch at the cafeteria
電車で学校に行きます。
I go to school by train."
"～に/へ行く
～に/へ来る","Placeに/へ行く
Placeに/へ来る","go to ～
come to ～","駅に行きます。
I will go the the station.
明日友達の家へ行きます。
I will go to my friend’s house tomorrow."
"～に乗る
～を降りる",,"ride on ～; get on ～
Get off ～","渋谷から電車に乗る。
I will ride the train from Shibuya.
駅でバスを降りてください。
Please get off the bus at the station."
"～に上げる
～にもらう",,"give to ～
Receive from ～","子供に本を上げました。
I gave the book to the child.
友達にプレゼントをもらいました。
I received a present from my friend."
Timeに,,"at, during, etc.","7時に起きました。
I woke up at 7:00.
冬に雪が降ります。
It snows during winter."
を,,marks the direct object,"中華料理を食べましょう！
Let’s eat chinese food!
金曜日までにレポートを出してください。
Please turn in your report by Friday."
～ませんか？,,Won't you ～?  the speaker is making an invitation to ～,"一緒に映画を見に行きませんか？
Won’t you go see a movie together?
この後食事に行かない？
Want to go have a meal after this?"
は,,marks the subject,"宿題は明日までに出してください。
As for your homework, please turn it in by tomorrow."
～があります,（Placeに）～があります,～ exists.  There is ～ (at/on/in ～).,"机の上にペンがあります。
There is a pen on the desk.
どこにりんごがありますか？
Where are the apples?"
～がいます,（Placeに）～がいます,～ exists.  There is ～ (at/on/in ～).,"母が家にいます。
My mother is at home.
さっき教室にジョンがいました。
John was in the classroom a little while ago."
～と～,,～ and ～,"トムとジョンが教室にいます。
Tom and John are in the classroom.
昼ご飯にパンと肉を食べました。
I ate bread and meat for lunch."
～と,,with ～,"友達と映画を見ます。
I will see the movie with a friend."
～ましょう,V-Stemましょう,I’ll ～.  Let’s ～.  Polite volitional form of the verb.,"あのレストランで晩ご飯を食べましょうか？
Shall we have dinner at that restaurant?
これが終わってから、休憩しましょう。
Let’s take a break after this is done."
～てください,V-てください,Please ～.,"あそこで待ってください。
Please wait over there.
空港に着いたら、連絡してください。
Please contact me when you arrive at the airport."
～ないでください,V-ないでください,Please do not ～,"熱いから触らないでください。
It is hot so please do not touch it.
ちょうど8時に始めるので、遅れないでください。
We will start exactly at 8:00, so don’t be late."
～てもいいです,V-てもいいです,You may ～,"この牛乳を飲んでもいいですか？
May I drink this milk?
試験でノートを見てもいいです。
You may look at your notes during the test."
～てはいけません,V-てはいけません,You must not ～,"ここに車を止めてはいけません。
You must not park your car here.
ゴミをポイ捨てはいけません。
You must not litter."
～から～まで,,From ～ to ～,"金曜日の仕事は9時から18時までです。
Work on Friday is from 9:00 to 18:00.
毎日学校は8時半からです。
School is from 8:30 everyday."
～ている,V-ている,～ing.  Progressive form of a verb.,"今妹が勉強しています。
My younger sister is studying now.
ジョンが電話で話しているので、終わるまで待ちましょう。
Jon is talking on the phone now, so let’s wait until he’s done."
"～に行く
～に来る","V-Stemに行く
V-Stemに来る","To go ～
To come ～","卵を買いに行くね。
I will go and buy eggs.
家に遊びに来る？
Will you come to play at my place?"
～のが好きです。,V-るのが好きです。,I like ～,"服を買うのが好きです。
I like to buy clothes.
どんな食べ物が好きですか？辛いのが好きです。
What kind of food do you like?  I like spicy food."
"～のが上手です。
～のが下手です。","V-るのが上手です。
V-るのが下手です。","I am good/skillful at ～
I am bad/unskillful at ～","日本語を読むのが下手です。
I am not good at reading Japanese.
ジョンは映画を作るのが上手です。
John is good at making movies."
まだ～ていません,まだV-ていません,Still have not ～,"まだレポートを書いていない。
I still haven’t written the report.
まだジョンは銀行に行っていません。
John still has not gone to the bank."
～の方が～より～です,,～ is more ～ than ～,"この時計の方がその時計より高いです。
This watch is more expensive than that one.
ジョンの方は英語が上手です。
Jon is better at English."
～の中で～が一番～です,,"Out of ～, ～ is the most ～","東京の中でこのラーメンが一番美味しいです。
This ramen is the most delicious in Tokyo.
あのチームの中で田中さんが一番速いです。
Out of that team, Tanaka is the fastest."
～つもりです,,Intend to ～,"来週新しい映画を見に行くつもりです。
I intend to go and see the new movie next week.
図書館に借りた本が終わったから、明日返すつもりです。
I finished the book I borrowed from the library, so I intend to return it tomorrow."
"～になる
～くなる","na-adjになる
i-adjくなる",To become ～,"6月から暑くなるよ。
It will become hot from June.
ジョンよりベースボールが上手になりたい。
I want to become better than John at baseball."
