grammar,usage,meaning,examples
～し,"V-るし
i-adj-いし
na-adjだし
Nだし","1) Gives a reason
2) ～し～し strings together two similar/compounding factors
3) ～し～し strings together two opposing factors","雨も降るし強い風が吹くし、ひどい天気ですね。
It rains and strong wind blows, the weather is rough.
授業があるし、台風も来るし、今日どうしよう。
I have class today, but a typhoon will come, what should I do?"
～そうです,"V-Stemそうです
i-adj-Stemそうです
na-adjそうです","It seems that ～.
Usually based on first-hand information.","今日降らなさそうですね。
It seems like it will not rain today.  (Probably said while looking at the sky.)
分からない単語がいっぱいなので、難しそうです。
It seems difficult because there are many words I do not know."
～ようです,"V-るようです
i-adj-いようです
na-adjなようです
Nのようです","It seems that ～.
Can be based on first-hand information or hearsay.","午後から降るようですよ。
It seems that it will rain this afternoon.  (I heard the weather report this morning)"
～らしいです,"V-るらしいです
i-adj-いらしいです
na-adjらしいです
Nらしいです","It seems that ～.
Usually based on hearsay.","あの店は美味しいらしいですよ。
That store seems delicious.  (I heard this from someone)"
～てみる,V-てみる,Try to ～,"明日新しいレストランに行ってみますか？
Will you try and go to the new restaurant tomorrow?
先週わさびを初めて食べてみたけど、辛くて好きじゃない。
I tried to eat wasabi for the first time last week, but it is spicy and I don't like it."
～なら,"V-るなら
i-adj-いなら
na-adjなら
Nなら","If ～.  Often used to express an opinion, desire, advice.","日本語が上手になりたいなら、毎日使った方が良いですよ。
If you want to become good at Japanese, you should use it everyday.
中国に行くなら美味しいお茶を買ってほしい。
If you will go to China, I want you to buy me some delicious tea."
Period of TimeにFrequency,,～ times a ～,"1週間に3回日本語授業があります。
There is Japanese class 3 times a week.
年に1回以上旅行に行きたい。
I want to go on a trip at least once a year."
～が欲しい,Nがほしい,To want ～,"旅行に行く時間が欲しいです。
I want time to go on a trip.
新しいiPhoneがほしい。
I want a new iPhone."
～がる,"i-adj-Stemがる
na-adjがる",Used to convey another person's feelings or desires.  These feelings or desires are outwardly displayed.,"田中さんはいつも自分にはない物がほしがっている。
Tanaka always wants things he does not have.
彼はピザが食べたがっている。
He wants to eat pizza."
～かもしれない,,"May/Might ～
Probably ～","今週の土曜日は仕事になるかもしれない。
This week Saturday may become work.
明日は雨かもしれないですね。
It might raing tomorrow."
～たらどうですか？,V-たらどうですか,"How about ～?
Maybe you should ～.","「明日昼に会議があるんですけど。」「昼の前に昼ご飯を食べたらどうですか？」
""I have a meeting during lunch tomorrow…""  ""Maybe you should eat lunch before the meeting.""
持って行ったらどうですか？
How about if you take it with you?"
Number/Timesも,,As many/much as ～.  Conveys that this is a lot.,"昨日の夜3回も起きた。
I woke up as many as 3 times last night.
山田君はドーナツを5個も食べたよ。
Yamada ate as many as 5 doughnuts."
～しか～ない,～しかV-ない,Only ～.  Implies a that ～ is not enough.,"財布に1000円しか入っていないから居酒屋に行けないです。
There is only 1000 yen in my wallet, so I can't go to the izakaya.
100個の漢字しか読めないので、N4は難しい。
I can only read 100 kanji, so the N4 is difficult."
～ておく,V-ておく,To ～ in advance,"寝る前に明日着る服を準備しておきます。
I will prepare the clothes I will wear tomorrow before I sleep.
人気だからレストランを予約しておいて。
It is popular, so make a reservation for the restaurant in advance."
V-よう,,Plain volitional form of a verb.  ,"映画を見に行こうか？
Shall we go to see a movie?
疲れたから帰ろう。
I'm tired so let's go home."
～てあげる,V-てあげる,To ～ (as a favor for someone),"山田さんに作り方を教えてあげます。
I will teach Mr. Yamada how to make it.
「クラスに行けなかったからノートを貸してくれる？」「うん、貸してあげるよ。」
""I couldn't go to class today, so will you lend me your notes?""  ""Yeah, I'll lend them to you."""
～てくれる,V-てくれる,To ～ (as a favor for me),"美味しかったから作り方を教えてくれますか？
It was delicious, so will you teach me how to make it?
「クラスに行けなかったからノートを貸してくれる？」「うん、貸してあげるよ。」
""I couldn't go to class today, so will you lend me your notes?""  ""Yeah, I'll lend them to you."""
～てもらえる,V-てもらえる,To ～ (as a favor for me),"美味しかったから作り方を教えてもらえますか？
It was delicious, so will you teach me how to make it?
「クラスに行けなかったからノートを貸してもらえる？」「うん、貸してあげるよ。」
""I couldn't go to class today, so will you lend me your notes?""  ""Yeah, I'll lend them to you."""
～てもらう,V-てもらう,To have someone ～,"ジョンに宿題を見せてもらう。
I will have John show me his homework.
会議室を準備してもらっていいですか？
Can I have you prepare the conference room?"
