id,kanji,kana,eng,part_of_speech
1,,일주일,One Week,
2,,동,Dong,
3,,규정,Rule,
4,,상대,Opponent,
5,,식물,Plant,
6,,위대하다,Great,
7,,장군,General,
8,,우려,Concern,
9,,후반,Second Half,
10,,부담,Burden,
11,,통합,Integrated,
12,,고모,Aunt,
13,,모시다,Wait On,
14,,낮,Afternoon,
15,,자전거,Bicycle,
16,,점점,Increasingly,
17,,늘다,Gain,
18,,희다,White,
19,,깨닫다,Realize,
20,,세월,Time,
21,,수도,Capital,
22,,평,Flat,
23,,쳐다보다,To Look At,
24,,푸르다,Blue,
25,,대학생,College Student,
26,,살아오다,Come Alive,
27,,열,Heat,
28,,불다,Blow,
29,,보도,Sidewalk,
30,,내일,Tomorrow,
31,,임신,Pregnant,
32,,시리즈,Series,
33,,일월,January,
34,,거부하다,Reject,
35,,혹시,Perhaps,
36,,연구소,Laboratory,
37,,폭,Width,
38,,병,Party,
39,,작용하다,Apply,
40,,수석,Top,
41,,무어,Moore,
42,,양식,Form,
43,,그만두다,Quit,
44,,목,Neck,
45,,벽,Wall,
46,,지도자,Leader,
47,,성,Castle,
48,,서비스,Service,
49,,수요,Demand,
50,,저기,There,
51,,습관,Habit,
52,,미래,Future,
53,,내부,Inside,
54,,마당,Yard,
55,,철학,Philosophy,
56,,적어도,At Least,
57,,말씀하다,Speak,
58,,시골,Country,
59,,눈길,Line Of Vision,
60,,온,On,
61,,예산,Budget,
62,,행사,Event,
63,,평화,Peace,
64,,조미료,Condiment,
65,,외치다,Shout Out,
66,,우산,Umbrella,
67,,충격,Shock,
68,,끓이다,Boil,
69,,검다,Black,
70,,외부,Out,
71,,과학자,Scientist,
72,,상식,Common Sense,
73,,쓰다,Write,
74,,시원하다,Cool,
75,,젖다,Get Wet,
76,,불편하다,Uncomfortable,
77,,대구,Dae-Gu,
78,,어둠,Darkness,
79,,그릇,Bowl,
80,,요리,Cooking,
81,,비밀,Secret,
82,,짝,Match,
83,,실천하다,Practice,
84,,판매,Sale,
85,,고민,Worry,
86,,권,Volume,
87,,도로,Road Name,
88,,이외,Other Than,
89,,겨우,Barely,
90,,미치다,Crazy,
91,,충분하다,Suffice,
92,,조금씩,Gradually,
93,,교회,Church,
94,,잘못,Wrong,
95,,바람직하다,Desirable,
96,,시월,October,
97,,과제,Assignment,
98,,잡히다,Be Caught,
99,,꼬리,Tail,
100,,물어보다,Ask,
101,,가난하다,Poor,
102,,맡기다,Entrust,
103,,이념,Ideology,
104,,강,River,
105,,법,Law,
106,,중간,Middle,
107,,해결하다,Solve,
108,,법률,Law,
109,,자녀,Children,
110,,춥다,Cold,
111,,위기,Danger,
112,,판단,Judgment,
113,,용기,Courage,
114,,피,Blood,
115,,비로소,For The First Time,
116,,시계,Watch,
117,,달려가다,Run,
118,,문화재,Cultural Heritage,
119,,첫째,First,
120,,미소,Smile,
121,,댁,Home,
122,,매체,Media,
123,,무척,Very,
124,,잡지,Magazine,
125,,불리다,Be Called,
126,,범위,Range,
127,,자네,You,
128,,문제점,Problem,
129,,세대,Generation,
130,,정상,Normal,
