grammar,usage,meaning,examples
V-Stem次第,V-Stem次第,As soon as ～,"東京駅に着き次第、メールください。
Please email me as soon as you arrive at Tokyo Station.
来週のスケジュールが決まり次第、電話します。
I will call you as soon as next week's schedule is decided."
～たとたん,V-たとたん（に）,Just as ～; when ～; as soon as ～,"犯罪者が警察を見たとたん、逃げました。
As soon as the criminal saw the police, he ran.
窓を開けたとたん、風が入ってしまった。
The wind came in just as I opened the window."
～ほど,"V-るほど
i-adj-いほど
na-adjなほど
Nほど",To the extent that ～,"びっくりするほど声が大きかった。
His voice was loud to the extent that I was surprised.
宝石ほどではないんですけど、この絵の価値は高いです。
This painting has high value, but not to the extent of a jewel."
V-るな,,Don't ～,"危ないからこっちに来るな。
Don't come here because it is dangerous.
食べるな。
Don't eat."
V-ろ (Command),,Imperative form.  Gives a command.,"野菜を全部食べろ。
Eat all the vegetables.
そっち行け！
Go there!"
～ために,"V-るために
Nのために",For the purpose of ～; in order to ～.  Gives the goal.,"日本語を習うために留学しに来ました。
I came to study abroad in order to learn Japanese.
健康のために毎日1万歩歩いています。
For the purpose of my health, I am walking 10,000 steps everyday."
～て初めて,V-て初めて,Only after ～; it was not until ～,"入院して初めて自分の健康が大切だと思っていました。
It was not until I was hospitalized that I thought my own health was important.
漫画を読んで初めて日本語に興味を持った。
I had an interest in Japanese only after I read manga."
～によって,Nによって,Depending on ～,"曜日によってランチメニューが違います。
Depending on the day of the week, the lunch menu is different.
経験とスキルによって給料が高くなります。
Your salary will increase depending on your skills and experience."
～ば～ほど,"V-ればV-るほど
i-adj-stemればi-adj-いほど
na-adjならna-adj-ほど","The more ～, the more ～","地震が強ければ強いほど、津波が起こる可能性が高くなります。
The stronger an earthquake, the higher the probability for a tsunami to occur.
カロリーを多く食べれば食べるほど早く太るよ。
The more calories you eat, the faster you will become fat."
～ばかり,Nばかり,Only ～,"お菓子ばかり食べないで。
Don't eat only sweets.
人が多くいたのに、パーティでジョンさんばかり話していました。
Although there were many people at the party, I only talked with John."
～たばかり,V-たばかり,Just ～; recently ～,"授業が終わったばかりだから、生徒がまだ部屋にいます。
Class just finished, so the students are still in the room.
到着したばかりなので、もうちょっと待ってください。
They just arrived, so please wait a little while longer."
～を始め,Nを始め,Starting with ～.  Used to give one possible example.,"東京を始め全国に店を展開したいです。
Starting with Tokyo, I want to open stores across the entire country.
田中さんは英語を始め5か国語が話せるすごい人です。
Mrs. Tanaka is an amazing person who can speak 5 languages starting with English."
～的,N的（な）,～al; ～ic; ～ive.  Turns a noun into a na-adjective.,"薬の効果　vs.　効果的な薬
Effect of a medicine  vs.  Effective medicine
長期的に考えると今投資した方がいいと思います
I think it is better to invest now if you think long-term."
～さえ～ば,NさえV-ば,If only,"時間さえあれば、もっと日本語を勉強できます。
If only I had more time, I could study more Japanese.
漢字さえもっと分かれば、日本語の漫画が楽しく読めると思う。
If only I understood more kanji, I think I could read manga enjoyably."
～まま,"V-た、V-ないまま
i-adj-いまま
na-adjなまま
Nのまま",As it is.  Expresses the state during which.,"エアコンをつけたまま、家を出ました。
I left home with the air conditioner on.
今のまま
as it is now"
～としたら,"V-るとしたら
i-adj-いとしたら
na-adjだとしたら
Nだとしたら",If (hypothetically) ～; in the case that ～,"車を購入するとしたらどれが欲しいですか？
If you were to buy a car, which would you want?
中国に旅行をしに行くとしたら、どこがおすすめですか？
If you were to go on a trip to China, where would you recommend?"
～たて,V-Stemたて,Just ～; freshly ～,"焼きたてのパンがフワフワで美味しいね。
Freshly baked bread is soft and delicious."
～っぽい,"V-Stemっぽい
i-adjっぽい
na-adjっぽい
Nっぽい",Like ～; ～-ish; with ～ character,"わがままで図々しい言い方は子供っぽい。
That selfish and impudent way of speaking is childish.
この料理は油っぽくて食べにくいよね。
This food is greasy and difficult to eat."
～に関して,"Nに関して
Nに関する",In regards to ～; in relation to ～,"子供の教育に関してお話したいです。
I want to talk with you in regards to the child'd education.
先生に就職に関するアドバイスを聞きました。
I asked my teacher for advice regarding job hunting."
ふり,"Vふり（にする）
i-adj-いふり（にする）
na-adjなふり（にする）
Nのふり（にする）",Pretend to ～,"友達とメールしていたのに、上司が怒らないように仕事をしているふりにした。
Although I was emailing my friend, I pretended to be working so my boss wouldn't get angry.
聞こえないふりにした。
I pretended like I couldn't hear him."
おかげで,"Vおかげで
Nのおかげで",Thanks to ～; because of ～,"先生のおかげでN3を合格しました。
I passed the N3 thanks to my teacher.
ダイエットを頑張ったおかげで体重が減りました。
My weight decreased because I worked hard at dieting."
つい～てしまう,ついV-てしまう,～ without thinking; ～ unintentionally,"ダイエット中なのに、レストランでついデザートを食べてしまった。
Although I am on a diet, I ate dessert at the restaurant without thinking.
レポートを書こうと思ったけど、ついFacebookを見始めてしまいました。
I was going to write the report, but I started looking at facebook without thinking."
V-ちゃう,,"End up ～.  Conveys that one did something regrettably or completely.
Short form of V-てしまう.","ダイエット中なのに、レストランでついデザートを食べちゃいました。
Although I am on a diet, I ate dessert at the restaurant without thinking.
宿題を完了したのに、忘れちゃった。
I completed my homework, but completely forgot it."
～さえ,Nさえ,"Even ～.  Gives an extreme example, implying that other cases are naturally true.","今年日本語を勉強し始めたから、カタカナさえ読めない。
I started studying Japanese this year, so I can't even read katakana.
仕事がとても忙しいので、テレビを見る暇さえないです。
Work is very busy, so I do not even have time to watch TV."
～に慣れる,Nに慣れる,Become used to ～,"東京に3年間住んで、混んでいる電車に慣れました。
I lived in Tokyo for 3 years and became used to the crowded trains.
働き始めてから朝早く起きることに慣れるまで数カ月かかると思います。
I think it takes a few months after you start working to get used to waking up early."
～に違いない,,I am sure that ～; I absolutely think ～,"今日も彼は遅刻するに違いない。
I am sure that he will be late today also.
トムは日本に10年住んでいるから日本語が上手に話せるに違いないです。
Tom has lived in Japan for 10 years, so I am sure he can speak Japanese well."
V-ず,,"Without doing ～
Similar meaning to V-ないで.","スライドを準備せず、発表しました。
I presented without preparing slides.
何も言わず、彼は帰ってしまいました。
He went home without saying anything."
"～によると
～によれば","Nによると
Nによれば",According to ～,"天気予報によると、あさっては雨だそうです。
According to the weather forecast, the day after tomorrow will be rain.
先生によると生徒の半分が日本語能力試験のN3を合格した。
According to sensei, half of the students passed the JLPT N3."
～代わりに,"i-adj-い代わりに
na-adjな代わりに
Nの代わりに","Instead of ～, in place of ～; in return for ～, in exchange for ～","上司の代わりに出張に行く。
I will go on a business trip in place of my superior.
駅に遠いアパートは便利な代わりに安いです。
The apartment that is far from the station is cheap instead of being convenient."
～として,Nとして,"As ～.  Gives a role, position, credential, etc.","学生として日本に来ました。
I came to Japan as a student.
プロ選手としてベースボールをやりたい。
I want to play baseball as a professional athlete."
～こそ,Nこそ,For sure ～.  Puts emphasis on the preceeding N.,"今年こそN3を合格したい！
I want to pass the N3 for sure this year.
「すみませんでした。」「ごめんなさい、私こそ悪かったです。」
""Sorry.""  ""Sorry, I was bad (it was my fault)."""
～ないうちに,V-ないうちに,Before ～ happens; before ～ starts.,"雨が降らないうちに店に行ってきます。
I will go to the store and come back before it starts to rain.
赤ちゃんが起きないうちに昼ご飯を食べよう。
Let's eat lunch before the baby wakes up."
～がち,V-Stemがち,Tends to ～; often ～; easily becomes ～,"弱いから風邪をひきがちの人です。
I am the kind of person who often catches a cold because I am weak.
疲れると短期的になって起こりがちです。
When I am tired, I become short tempered and tend to get angry."
～と共に,"V-ると共に
Nと共に",Together with; at the same time,"眺めと共に美味しいご飯をお楽しんでください。
Please enjoy the view together with a delicious meal.
年をとると共に体力がなくなる。
You lose physical strength as you get older."
